Key|Canonical Key|HD Row|BXP|XP/HP|S Abilities|S Basis|S Award Units|E Abilities|E Basis|E Award Units|Adjustment|Appendix E XP|Chosen XP|Status|Decision
aerial_servant||15--16+|2400|20|2|surprise on 1--4; magic weapons to hit|2|1|maximum damage 32 singly|1|none|5250 + 20/hp|6500 + 20/hp|corrected|Include the explicit magic-weapon defense as a second Special; Appendix E accounts only for surprise and maximum damage.
anhkheg||varies|varies|varies|0|none|0|1|digestive acid and acid squirt|4|acid package x4|390 + hp value|390 + hp value|variable|The Appendix subtotal represents 5 HD; keyed variants use each actual HD row with the same x4 Exceptional weighting.
anhkheg_3hd|anhkheg|2+1--3|35|3|0|none|0|1|digestive acid and acid squirt|4|acid package x4|not listed|255 + 3/hp|derived|Uses the actual 3 HD row rather than repeating the 5 HD subtotal.
anhkheg_4hd|anhkheg|3+1--4|60|4|0|none|0|1|digestive acid and acid squirt|4|acid package x4|not listed|320 + 4/hp|derived|Uses the actual 4 HD row while retaining the x4 Exceptional weighting established by the published 5 HD subtotal.
anhkheg_5hd|anhkheg|4+1--5|90|5|0|none|0|1|digestive acid and acid squirt|4|acid package x4|390 + hp value|390 + 5/hp|confirmed|This is the form whose p. 85 row produces the published Appendix subtotal.
anhkheg_6hd|anhkheg|5+1--6|150|6|0|none|0|1|digestive acid and acid squirt|4|acid package x4|not listed|650 + 6/hp|derived|Uses the actual 6 HD row while retaining the x4 Exceptional weighting established by the published 5 HD subtotal.
anhkheg_7hd|anhkheg|6+1--7|225|8|0|none|0|1|digestive acid and acid squirt|4|acid package x4|not listed|925 + 8/hp|derived|Uses the actual 7 HD row while retaining the x4 Exceptional weighting established by the published 5 HD subtotal.
anhkheg_8hd|anhkheg|7+1--8|375|10|0|none|0|1|digestive acid and acid squirt|4|acid package x4|not listed|1475 + 10/hp|derived|Uses the actual 8 HD row while retaining the x4 Exceptional weighting established by the published 5 HD subtotal.
ant_giant||1+1--2|20|2|0|none|0|0|none|0|none|20 + 2/hp|20 + 2/hp|confirmed|No qualifying abilities.
ant_queen|ant_giant|9+1--10+|900|14|0|none|0|0|none|0|noncombatant override|not listed|0|override|The immobile queen neither attacks nor moves; retain zero XP despite its nominal 10 HD.
ant_warrior|ant_giant|2+1--3|35|3|0|none|0|1|poison sting|1|none|40 + 3/hp|90 + 3/hp|corrected|The published subtotal cannot be formed from the 3 HD row; treat even this comparatively weak poison as Exceptional for consistent p. 85 classification.
ape||4+1--5|90|5|1|rending|1|0|none|0|none|130 + 5/hp|130 + 5/hp|confirmed|Rending earns one ordinary Special award.
gorilla|ape|4+1--5|90|5|1|rending|1|0|none|0|none|130 + 5/hp|130 + 5/hp|alias|Useful alternate lookup key; inherits the Ape allocation.
ape_carnivorous||4+1--5|90|5|2|rending; surprised only on 1|2|0|none|0|none|170 + 5/hp|170 + 5/hp|confirmed|Rending and the improved surprise defense each earn one Special award.
axe_beak||2+1--3|35|3|0|none|0|0|none|0|none|35 + 3/hp|35 + 3/hp|confirmed|No qualifying abilities.
baboon||1+1--2|20|2|0|none|0|0|none|0|none|20 + 2/hp|20 + 2/hp|confirmed|Climbing does not materially alter combat and earns no award.
badger||1+1--2|20|2|0|none|0|0|none|0|none|20 + 2/hp|20 + 2/hp|confirmed|No qualifying abilities.
badger_giant||2+1--3|35|3|0|none|0|0|none|0|none|35 + 3/hp|35 + 3/hp|confirmed|No qualifying abilities.
baluchitherium||13--14+|1800|18|0|none|0|2|maximum damage 40 doubly; charge and trample|2|none|4200 + 18/hp|4200 + 18/hp|confirmed|Maximum damage supplies one Exceptional award and the prose-only charge and trample supplies the second; include that reliable combat ability in the descriptive fields even though Appendix E says nil.
barracuda||varies|varies|varies|0|none|0|0|none|0|middle-form summary|20 + 2/hp|20 + 2/hp|variable|The Appendix value represents the middle 2 HD form; keyed variants use each actual HD row.
barracuda_1hd|barracuda|1-1--1|10|1|0|none|0|0|none|0|none|not listed|10 + 1/hp|derived|Uses the actual 1 HD row.
barracuda_2hd|barracuda|1+1--2|20|2|0|none|0|0|none|0|none|group listing 20 + 2/hp|20 + 2/hp|confirmed|This is the representative middle form used by the Appendix listing.
barracuda_3hd|barracuda|2+1--3|35|3|0|none|0|0|none|0|none|not listed|35 + 3/hp|derived|Uses the actual 3 HD row.
