Key|Singular|Plural|Category|THACO|AC|MV|HD|#AT|Damage (long)|Damage (short)|SA|SD|MR|Special|Size|Int|Alignment|Psionic|Attack/Defense Modes|Frequency|No. Appearing|% in Lair|Treasure Type|Level|XP
|||||||||||||||||||||||||
aerial_servant|Aerial Servant|||7|3|24"|16|1|8--32|8--32|Surprises on 1--4|Can be hit only by magic weapons|Standard|Surprises on 1--4; magic weapon to hit|8' tall|Semi-|Neutral|Nil|Nil|Very rare|1|0\%|Nil|IX|6500\+20/hp
anhkheg|Anhkheg|||13--16|2\,(4)|12" (6")|3--8|1|3--18 (\+1--4)|3--18|Squirt acid|Nil|Standard|Squirt acid|L (10'--20' long)|Non-|Neutral|Nil|Nil|Rare|1--6|15\%|C|V|390\+hp value
anhkheg_3hd|Anhkheg|||16|2\,(4)|12" (6")|3|1|3--18 (\+1--4)|3--18|Squirt acid|Nil|Standard|Squirt acid|L (10'--20' long)|Non-|Neutral|Nil|Nil|Rare|1--6|15\%|C|V|255\+3/hp
anhkheg_4hd|Anhkheg|||15|2\,(4)|12" (6")|4|1|3--18 (\+1--4)|3--18|Squirt acid|Nil|Standard|Squirt acid|L (10'--20' long)|Non-|Neutral|Nil|Nil|Rare|1--6|15\%|C|V|320\+4/hp
anhkheg_5hd|Anhkheg|||15|2\,(4)|12" (6")|5|1|3--18 (\+1--4)|3--18|Squirt acid|Nil|Standard|Squirt acid|L (10'--20' long)|Non-|Neutral|Nil|Nil|Rare|1--6|15\%|C|V|390\+5/hp
anhkheg_6hd|Anhkheg|||13|2\,(4)|12" (6")|6|1|3--18 (\+1--4)|3--18|Squirt acid|Nil|Standard|Squirt acid|L (10'--20' long)|Non-|Neutral|Nil|Nil|Rare|1--6|15\%|C|VI|650\+6/hp
anhkheg_7hd|Anhkheg|||13|2\,(4)|12" (6")|7|1|3--18 (\+1--4)|3--18|Squirt acid|Nil|Standard|Squirt acid|L (10'--20' long)|Non-|Neutral|Nil|Nil|Rare|1--6|15\%|C|VI|925\+8/hp
anhkheg_8hd|Anhkheg|||12|2\,(4)|12" (6")|8|1|3--18 (\+1--4)|3--18|Squirt acid|Nil|Standard|Squirt acid|L (10'--20' long)|Non-|Neutral|Nil|Nil|Rare|1--6|15\%|C|VII|1475\+10/hp
ant_giant|Giant Ant||Ant|16|3|18"|2|1|1--6|1--6|Nil|Nil|Standard||S (2' long)|Animal|Neutral|Nil|Nil|Rare|1--100|10\%|Q (\x3), S|I|20\+2/hp
ant_queen|Queen Ant||Ant|10|3|Nil|10|0|Nil|Nil|Nil|Nil|Standard||S|Animal|Neutral|Nil|Nil|Rare|1|10\%|Q (\x3), S|I|0
ant_warrior|Warrior Ant||Ant|16|3|18"|3|2|2--8\?3--12|2--8/3--12|Poison sting|Nil|Standard|Poison sting|S (2' long)|Animal|Neutral|Nil|Nil|Rare|1--20|10\%|Q (\x3), S|III|90\+3/hp
ape|Ape|||15|6|12"|4+1|3|1--3\?1--3\?1--6|2\x1--3\?1--6|Rending|Nil|Standard|Rending|M (6' tall, broad)|Low|Neutral|Nil|Nil|Very rare|1--4|Nil|Nil|III|130\+5/hp
gorilla|Gorilla|||15|6|12"|4+1|3|1--3\?1--3\?1--6|2\x1--3\?1--6|Rending|Nil|Standard|Rending|M (6' tall, broad)|Low|Neutral|Nil|Nil|Very rare|1--4|Nil|Nil|III|130\+5/hp
ape_carnivorous|Carnivorous Ape|||15|6|12"|5|3|1--4\?1--4\?1--8|2\x1--4\?1--8|Rending|Surprised only on a 1|Standard|Rending; Surprised only on 1|L (7'+, very broad)|Low (upper)|Neutral|Nil|Nil|Rare|2--8|10\%|C|IV|170\+5/hp
axe_beak|Axe Beak|||16|6|18"|3|3|1--3\?1--3\?2--8|2\x1--3\?2--8|Nil|Nil|Standard||L (7'+ tall)|Animal|Neutral|Nil|Nil|Uncommon|1--6|Nil|Nil|II|35\+3/hp
baboon|Baboon|||18|7|12"|1+1|1|1--4|1--4|Nil|Climbing|Standard|Climbing|S (4'+ tall)|Low|Neutral|Nil|Nil|Common|10--40|Nil|Nil|I|20\+2/hp
badger|Badger|||18|4|6" (3")|1+2|3|1--2\?1--2\?1--3|2\x1--2\?1--3|Nil|Nil|Standard||S|Semi-|Neutral|Nil|Nil|Uncommon|2--5|Nil|Nil|I|20\+2/hp
badger_giant|Giant Badger|||16|4|6" (3")|3|3|1--3\?1--3\?1--6|2\x1--3\?1--6|Nil|Nil|Standard||S|Semi-|Neutral|Nil|Nil|Very rare|2--5|Nil|Nil|II|35\+3/hp
baluchitherium|Baluchitherium|Baluchitheria||8|5|12"|14|2|5--20|5--20|Charge/trample|Nil|Standard|Charge/trample|L (20' tall)|Semi-|Neutral|Nil|Nil|Rare|1--3|Nil|Nil|VIII|4200\+18/hp
barracuda|Barracuda|||16|6|30"|1--3|1|2--8|2--8|Nil|Nil|Standard||S to L|Non-|Neutral|Nil|Nil|Uncommon|2--12|Nil|Nil|I|20\+2/hp
barracuda_1hd|Barracuda|||19|6|30"|1|1|2--8|2--8|Nil|Nil|Standard||S|Non-|Neutral|Nil|Nil|Uncommon|2--12|Nil|Nil|I|10\+1/hp
barracuda_2hd|Barracuda|||16|6|30"|2|1|2--8|2--8|Nil|Nil|Standard||M|Non-|Neutral|Nil|Nil|Uncommon|2--12|Nil|Nil|I|20\+2/hp
barracuda_3hd|Barracuda|||16|6|30"|3|1|2--8|2--8|Nil|Nil|Standard||L|Non-|Neutral|Nil|Nil|Uncommon|2--12|Nil|Nil|II|35\+3/hp
