Key|Singular|Plural|Category|THACO|AC|MV|HD|#AT|Damage (long)|Damage (short)|SA|SD|MR|Special|Size|Int|Alignment|Psionic|Attack/Defense Modes|Frequency|No. Appearing|% in Lair|Treasure Type|Level|XP
|||||||||||||||||||||||||
aspis_drone|Drone||Aspis|13|3\,(2)|15"|6|2|1--4\?1--4 or by weapon|2\x1--4|Nil|Immune to electric\?cold, \half~from fire|Standard|Immune to electric\?cold, \half~from fire|M|Very|Neutral|Nil|Nil|Rare|2--20|30\%|F|V|300\+6/hp
aspis_larva|Larva|Larvae|Aspis|15--16|6|1"//6"|2--5|1|2--7|2--7|Nil|Immune to acid|Standard|Immune to acid|S|Non-|Neutral|Nil|Nil|Rare|3--30|90\%|Nil|II--III|28--130\+2--5\?hp
aspis_larva_2hd|Larva|Larvae|Aspis|16|6|1"//6"|2|1|2--7|2--7|Nil|Immune to acid|Standard|Immune to acid|S|Non-|Neutral|Nil|Nil|Rare|3--30|90\%|Nil|II|28\+2/hp
aspis_larva_3hd|Larva|Larvae|Aspis|16|6|1"//6"|3|1|2--7|2--7|Nil|Immune to acid|Standard|Immune to acid|S|Non-|Neutral|Nil|Nil|Rare|3--30|90\%|Nil|II|50\+3/hp
aspis_larva_4hd|Larva|Larvae|Aspis|15|6|1"//6"|4|1|2--7|2--7|Nil|Immune to acid|Standard|Immune to acid|S|Non-|Neutral|Nil|Nil|Rare|3--30|90\%|Nil|III|85\+4/hp
aspis_larva_5hd|Larva|Larvae|Aspis|15|6|1"//6"|5|1|2--7|2--7|Nil|Immune to acid|Standard|Immune to acid|S|Non-|Neutral|Nil|Nil|Rare|3--30|90\%|Nil|III|130\+5/hp
aspis_cow|Cow||Aspis|10|7|3"|10|1|3--18|3--18|Nil|Acidic skin|Standard|Acidic skin|L|Low|Neutral|Nil|Nil|Very rare|1|95\%|Nil|VII|1350\+14/hp
mongrelman|Mongrelman|Mongrelmen||19--15|5|9"|1--4|1|1--4,1--6,1--8,1--10 or by weapon|1--4,1--6,1--8,1--10|Nil|Camouflage|Standard||M|Low to average|Lawful Neutral|Nil|Nil|Rare|1--100|35\%|C|I---III|
mongrelman_1hd|Mongrelman|Mongrelmen||19--15|5|9"|1|1|1--4 or by weapon|1--4|Nil|Camouflage|Standard||M|Low to average|Lawful Neutral|Nil|Nil|Rare|1--100|35\%|C|I|20\+1/hp
mongrelman_2hd|Mongrelman|Mongrelmen||19--15|5|9"|2|1|1--6 or by weapon|1--6|Nil|Camouflage|Standard||M|Low to average|Lawful Neutral|Nil|Nil|Rare|1--100|35\%|C|II|36\+2/hp
mongrelman_3hd|Mongrelman|Mongrelmen||19--15|5|9"|3|1|1--8 or by weapon|1--8|Nil|Camouflage|Standard||M|Low to average|Lawful Neutral|Nil|Nil|Rare|1--100|35\%|C|III|65\+3/hp
mongrelman_4hd|Mongrelman|Mongrelmen||19--15|5|9"|4|1|1--10 or by weapon|1--10|Nil|Camouflage|Standard||M|Low to average|Lawful Neutral|Nil|Nil|Rare|1--100|35\%|C|III|110+4/hp
mongrelman_leader|Mongrelman Leader|Mongrelmen Leaders||19--15|4|12"|5|1|1--12 or by weapon|1--12|Nil|Camouflage|Standard||M|Low to average|Lawful Neutral|Nil|Nil|Rare|1--100|35\%|C|III|130+5/hp
myconid|Myconid|||19--13|10|9"|1--6|1|1d4 (\x HD)|1d4 (\x HD)|Spore Clouds|Poisonous Skin (1--4)|Standard||S to L (2'/HD)|Average|Lawful Neutral|Nil|Nil|Rare|1--12 (20--200)|70\%|S (\x 2)|I---V|
myconid_1hd|Myconid|||19|10|9"|1|1|1d4|1d4|Spore Clouds|Poisonous Skin (1--4)|Standard||S (2')|Average|Lawful Neutral|Nil|Nil|Rare|1--12 (20--200)|70\%|S (\x 2)|I|14\+1/hp
myconid_2hd|Myconid|||16|10|9"|2|1|2d4|2d4|Spore Clouds|Poisonous Skin (1--4)|Standard||S (4')|Average|Lawful Neutral|Nil|Nil|Rare|1--12 (20--200)|70\%|S (\x 2)|II|28\+2/hp
myconid_3hd|Myconid|||16|10|9"|3|1|3d4|3d4|Spore Clouds|Poisonous Skin (1--4)|Standard||M (6')|Average|Lawful Neutral|Nil|Nil|Rare|1--12 (20--200)|70\%|S (\x 2)|II|50\+3/hp
